Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ClientQueryResult.java",1,1,1,1,7,0,7,0,,,,1,0,0,,1,1,3,1,,0,0,0,1,,27,5,17,12,3,5,,,,10,12,9,3,,,,,,1,1,1,1,,,0,,,0.29,1,1,1,1
File,"ClientRepository.java",1,1,1,1,11,1,8,1,,,,1,0,0,,16,16,1,16,,0,4,0,12,,225,47,157,66,102,21,,,,85,104,60,44,,,,,,3,3,3,1,,,1,,,0.13,21,21,21,16
File,"ClientRepositoryTest.java",1,1,1,1,8,1,6,0,,,,1,0,0,,16,16,1,16,,0,0,0,16,,205,49,153,79,79,3,,,,66,83,56,27,,,,,,1,1,1,1,,,0,,,0.02,16,16,16,16
File,"ClientService.java",1,1,1,1,10,2,7,0,,,,1,0,0,,12,12,4,12,,0,0,0,12,,168,46,119,54,70,3,,,,65,81,49,32,,,,,,3,3,3,1,,,1,,,0.03,14,14,14,12
File,"ClientStatusException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"Contact.java",4,4,4,2,6,0,6,0,,,,1,0,0,,11,11,9,11,,0,0,0,11,,108,18,87,38,39,3,,,,51,73,27,46,,,,,,20,20,21,11,,,1,,,0.03,39,39,40,21
File,"Contract.java",2,2,2,1,5,0,5,0,,,,6,1,0,,67,70,50,71,,1,2,0,68,,574,105,464,176,211,5,,,,245,344,140,204,,,,,,27,27,28,15,,,3,,,0.01,122,122,123,90
File,"ContractController.java",1,1,1,1,8,1,4,2,,,,1,0,0,,23,23,2,23,,0,10,0,13,,268,47,167,104,61,54,,,,70,88,56,32,,,,,,5,5,5,1,,,1,,,0.32,27,27,27,23
File,"ContractControllerTest.java",1,1,1,1,9,1,7,0,,,,1,0,0,,56,56,3,56,,0,28,0,28,,575,115,435,202,317,33,,,,186,219,144,75,,,,,,3,3,3,1,,,2,,,0.08,58,58,58,56
File,"ContractDTO.java",1,1,1,1,5,0,5,0,,,,2,0,0,,2,2,4,2,,0,0,0,2,,35,7,25,17,4,3,,,,13,17,13,4,,,,,,1,1,1,1,,,0,,,0.12,2,2,2,2
File,"ContractDontHaveModelException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"ContractException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,2,2,0,2,,0,0,0,2,,18,4,11,6,2,3,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,0.27,2,2,2,2
File,"ContractHistoryEntry.java",1,1,1,1,5,0,5,0,,,,2,0,0,,5,7,11,7,,0,0,0,7,,73,11,59,37,17,3,,,,32,39,22,17,,,,,,1,1,1,1,,,0,,,0.05,7,7,7,7
File,"ContractNotFoundException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"ContractQueryResult.java",1,1,1,1,7,0,7,0,,,,2,0,0,,2,2,6,2,,0,0,0,2,,45,10,32,22,6,3,,,,17,21,15,6,,,,,,1,1,1,1,,,0,,,0.09,2,2,2,2
File,"ContractRepository.java",2,2,3,1,20,3,15,1,,,,1,0,0,,28,28,3,28,,0,7,0,21,,592,133,428,131,328,31,,,,181,253,120,133,,,,,,18,18,27,1,,,5,,,0.07,69,69,78,28
File,"ContractRepositoryTest.java",1,1,1,1,13,2,10,0,,,,1,0,0,,25,25,5,25,,0,0,0,25,,436,100,315,158,201,21,,,,166,196,122,74,,,,,,3,3,3,1,,,2,,,0.07,27,27,27,25
File,"ContractService.java",1,1,1,1,10,2,8,0,,,,1,0,0,,22,22,6,22,,0,1,0,21,,327,86,216,90,137,25,,,,108,131,76,55,,,,,,1,1,1,1,,,0,,,0.12,22,22,22,22
File,"ContractStatusException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"ContractWithdrawDTO.java",1,1,1,1,8,0,8,0,,,,2,0,0,,2,2,7,2,,0,0,0,2,,46,7,36,25,7,3,,,,21,25,18,7,,,,,,1,1,1,1,,,0,,,0.08,2,2,2,2
File,"ContractWithdrawEntry.java",2,2,2,1,6,0,5,0,,,,3,0,0,,6,6,10,6,,0,0,0,6,,79,15,61,37,16,3,,,,30,41,24,17,,,,,,4,4,5,3,,,1,,,0.05,10,10,11,8
File,"ContractWithoutModelException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"ContractsByStatusSpec.java",1,1,1,1,5,0,5,0,,,,1,0,0,,1,1,2,1,,0,0,0,1,,18,3,12,9,2,3,,,,7,9,7,2,,,,,,1,1,1,1,,,0,,,0.25,1,1,1,1
File,"Counter.java",2,2,2,2,5,0,4,0,,,,2,0,0,,8,10,5,10,,0,0,0,10,,79,16,60,25,25,3,,,,24,39,18,21,,,,,,4,4,5,4,,,1,,,0.05,17,17,18,15
File,"CounterType.java",0,0,0,0,0,0,0,0,,,,1,0,0,,0,2,4,2,,0,0,0,2,,8,1,4,3,0,3,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,0.75,2,2,2,2
File,"Device.java",2,2,2,1,7,0,7,0,,,,1,0,0,,29,29,13,29,,0,4,0,25,,306,58,245,96,124,3,,,,112,154,75,79,,,,,,7,7,11,1,,,2,,,0.01,45,45,53,29
File,"DeviceAlterdataDTO.java",1,1,1,1,9,0,9,0,,,,1,0,0,,1,1,4,1,,0,0,0,1,,26,4,19,13,4,3,,,,11,13,9,4,,,,,,1,1,1,1,,,0,,,0.16,1,1,1,1
File,"DeviceController.java",1,1,1,1,8,1,5,2,,,,1,0,0,,34,34,3,34,,0,6,0,28,,413,67,269,176,88,77,,,,93,127,80,47,,,,,,5,5,5,1,,,1,,,0.29,39,39,39,34
File,"DeviceControllerExternalTest.java",1,1,1,1,9,1,7,0,,,,1,0,0,,15,15,2,15,,0,5,0,10,,199,40,145,73,85,15,,,,86,105,64,41,,,,,,5,5,5,1,,,3,,,0.10,19,19,19,15
File,"DeviceControllerTest.java",1,1,1,1,10,1,8,0,,,,1,0,0,,78,78,4,78,,0,37,0,41,,820,170,647,276,490,23,,,,271,313,185,128,,,,,,1,1,1,1,,,0,,,0.04,78,78,78,78
File,"DeviceDTO.java",1,1,1,1,5,0,5,0,,,,1,0,0,,1,1,2,1,,0,0,0,1,,21,4,14,10,2,3,,,,8,10,8,2,,,,,,1,1,1,1,,,0,,,0.21,1,1,1,1
File,"DeviceDontHaveContractException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,13,3,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"DeviceException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,2,2,0,2,,0,0,0,2,,17,3,11,6,2,3,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,0.27,2,2,2,2
File,"DeviceHistoryDTO.java",2,2,2,1,8,0,7,0,,,,1,0,0,,3,3,4,3,,0,0,0,3,,52,9,40,24,13,3,,,,24,32,22,10,,,,,,3,3,3,1,,,1,,,0.07,5,5,5,3
File,"DeviceHistoryEntry.java",1,1,1,1,6,0,6,0,,,,2,0,0,,5,7,25,7,,0,0,0,7,,85,12,67,41,21,6,,,,35,42,22,20,,,,,,1,1,1,1,,,0,,,0.09,7,7,7,7
File,"DeviceMergeException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"DeviceNotFoundException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,13,3,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"DeviceQueryResult.java",4,4,4,2,8,1,7,0,,,,1,0,0,,3,3,3,3,,0,0,0,3,,48,10,35,20,13,3,,,,21,29,14,15,,,,,,7,7,8,5,,,1,,,0.09,11,11,12,7
File,"DeviceReading.java",1,1,1,1,5,0,4,0,,,,2,0,0,,15,17,11,17,,0,2,0,15,,142,31,108,53,41,3,,,,51,78,47,31,,,,,,5,5,5,1,,,2,,,0.03,24,24,24,17
File,"DeviceReadingQueryResult.java",1,1,1,1,3,0,3,0,,,,2,0,0,,5,5,4,5,,0,0,0,5,,47,10,34,20,7,3,,,,16,23,16,7,,,,,,1,1,1,1,,,0,,,0.09,5,5,5,5
File,"DeviceReadingReport.java",1,1,1,1,7,0,7,0,,,,2,0,0,,4,4,12,4,,0,0,0,4,,88,14,55,36,13,19,,,,32,38,25,13,,,,,,1,1,1,1,,,0,,,0.35,4,4,4,4
File,"DeviceRepeatedException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"DeviceRepository.java",2,2,2,1,19,3,14,1,,,,1,0,0,,58,58,1,58,,0,9,0,49,,1246,258,886,306,675,102,,,,364,484,262,222,,,,,,9,9,10,1,,,4,,,0.12,115,110,116,58
File,"DeviceRepositoryExternalTest.java",1,1,1,1,6,0,5,0,,,,1,0,0,,2,2,2,2,,0,0,0,2,,57,14,40,32,8,3,,,,27,30,25,5,,,,,,1,1,1,1,,,0,,,0.07,2,2,2,2
File,"DeviceRepositoryTest.java",1,1,1,1,10,2,8,0,,,,1,0,0,,37,37,4,37,,0,0,0,37,,507,127,375,181,227,5,,,,194,232,118,114,,,,,,1,1,1,1,,,0,,,0.01,37,37,37,37
File,"DeviceReservationException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,3,6,3,1,3,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,0.50,1,1,1,1
File,"DeviceService.java",2,2,2,1,15,3,12,0,,,,1,0,0,,33,33,7,33,,0,0,0,33,,602,153,443,154,297,6,,,,208,260,126,134,,,,,,6,6,6,1,,,3,,,0.01,50,50,52,33
File,"DeviceStatus.java",2,2,2,2,3,0,3,0,,,,1,2,0,,3,3,13,5,,1,0,0,4,,42,6,33,19,8,3,,,,11,20,10,10,,,,,,3,3,3,3,,,2,,,0.09,9,9,9,9
File,"DevicesByStatusSpec.java",1,1,1,1,5,0,5,0,,,,1,0,0,,1,1,2,1,,0,0,0,1,,27,5,17,13,2,5,,,,10,12,10,2,,,,,,1,1,1,1,,,0,,,0.29,1,1,1,1
File,"DuplicatedCounterException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"EmptySerialException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"ExistingClientException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,13,3,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"ExistingContractException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"ExistingUserException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,0.38,1,1,1,1
File,"InsufficientNumberOfDevicesByModelException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"InvalidAuthenticationException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"JsonMapperObject.java",2,2,2,1,7,0,6,0,,,,1,0,0,,8,8,1,8,,0,0,0,8,,88,19,66,28,33,3,,,,32,48,29,19,,,,,,2,2,2,1,,,1,,,0.05,13,13,13,8
File,"Link.java",1,1,1,1,3,0,3,0,,,,2,1,0,,8,9,8,10,,1,0,0,9,,71,13,54,30,13,4,,,,23,35,21,14,,,,,,3,3,3,3,,,2,,,0.07,12,12,13,12
File,"LoginControllerTest.java",1,1,1,1,6,1,5,0,,,,1,0,0,,2,2,0,2,,0,0,0,2,,30,6,21,16,6,3,,,,8,11,11,0,,,,,,1,1,1,1,,,0,,,0.14,2,2,2,2
File,"MailNotifier.java",1,1,1,1,19,5,14,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,51,10,23,17,12,18,,,,18,20,16,4,,,,,,1,1,1,1,,,0,,,0.78,1,1,1,1
File,"Manufacturer.java",3,3,3,2,5,0,5,0,,,,1,0,0,,4,4,3,4,,0,0,0,4,,48,10,35,21,11,3,,,,19,27,15,12,,,,,,6,6,7,4,,,1,,,0.09,11,11,12,7
File,"MappableException.java",1,1,1,1,4,0,4,0,,,,2,0,0,,5,5,5,5,,0,0,0,5,,43,8,32,14,11,3,,,,18,25,14,11,,,,,,1,1,1,1,,,0,,,0.09,5,5,5,5
File,"Merger.java",4,4,4,1,17,3,14,0,,,,1,2,0,,2,0,0,2,,0,1,0,1,,48,11,34,11,18,3,,,,15,25,13,12,,,,,,5,5,5,1,,,4,,,0.09,7,7,7,2
File,"MeyerCollections.java",1,1,1,1,3,0,3,0,,,,1,8,0,,8,0,0,8,,0,0,0,8,,43,10,30,13,9,3,,,,12,21,13,8,,,,,,1,1,1,1,,,0,,,0.10,8,8,8,8
File,"Model.java",2,2,2,2,5,0,5,0,,,,2,0,0,,17,19,17,19,,0,0,0,19,,153,28,122,47,59,3,,,,65,92,36,56,,,,,,16,16,17,10,,,1,,,0.02,42,42,43,28
File,"ModelController.java",1,1,1,1,9,1,5,3,,,,1,0,0,,11,11,2,11,,0,0,0,11,,165,28,100,68,29,37,,,,47,60,43,17,,,,,,2,2,2,1,,,1,,,0.37,12,12,12,11
File,"ModelControllerTest.java",1,1,1,1,8,1,7,0,,,,1,0,0,,27,27,2,27,,0,13,0,14,,271,62,206,113,136,9,,,,96,111,81,30,,,,,,1,1,1,1,,,0,,,0.04,27,27,27,27
File,"ModelDTO.java",1,1,1,1,5,0,5,0,,,,1,0,0,,1,1,2,1,,1,0,0,0,,21,4,14,10,2,3,,,,8,10,8,2,,,,,,1,1,1,1,,,0,,,0.21,1,1,1,1
File,"ModelException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,2,2,0,2,,0,0,0,2,,18,4,11,6,2,3,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,0.27,2,2,2,2
File,"ModelMergeException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,14,4,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"ModelNotFoundException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"ModelRepeatedException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"ModelRepository.java",2,2,2,1,9,1,8,0,,,,1,0,0,,14,14,0,14,,0,0,0,14,,190,50,128,48,75,12,,,,61,89,47,42,,,,,,4,4,5,1,,,3,,,0.09,23,23,24,14
File,"ModelRepositoryTest.java",1,1,1,1,5,1,4,0,,,,1,0,0,,16,16,2,16,,0,1,0,15,,153,40,110,71,43,3,,,,56,72,50,22,,,,,,1,1,1,1,,,0,,,0.03,16,16,16,16
File,"ModelService.java",1,1,1,1,7,1,5,0,,,,1,0,0,,12,12,2,12,,0,0,0,12,,145,41,78,36,34,26,,,,46,61,34,27,,,,,,3,3,3,1,,,2,,,0.33,14,14,14,12
File,"ModelType.java",2,2,2,2,2,0,2,0,,,,1,1,0,,3,4,15,5,,1,0,0,4,,39,5,31,21,5,3,,,,7,13,7,6,,,,,,3,3,3,3,,,2,,,0.10,7,7,7,7
File,"NimbusDSTokenProvider.java",3,3,3,2,21,4,17,0,,,,1,0,0,,2,2,3,2,,0,0,0,2,,73,14,56,34,30,3,,,,39,45,32,13,,,,,,3,3,3,3,,,2,,,0.05,5,5,5,4
File,"NoOpTokenProvider.java",1,1,1,1,3,0,3,0,,,,1,0,0,,2,2,0,2,,0,0,0,2,,18,3,12,7,2,3,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,0.25,2,2,2,2
File,"Permission.java",0,0,0,0,0,0,0,0,,,,1,0,0,,0,2,25,2,,0,0,0,2,,67,3,27,26,0,37,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,1.37,2,2,2,2
File,"Price.java",2,2,2,1,4,0,4,0,,,,3,0,0,,32,32,15,32,,1,2,0,29,,236,42,185,80,76,9,,,,98,140,63,77,,,,,,9,9,10,6,,,1,,,0.05,51,51,53,41
File,"QueryBuilder.java",1,1,1,1,5,0,4,0,,,,1,0,0,,16,16,4,16,,0,0,0,16,,130,32,93,34,47,5,,,,49,68,35,33,,,,,,2,2,2,1,,,1,,,0.05,17,17,17,16
File,"RemoveUserException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"ReportDTO.java",1,1,1,1,6,0,6,0,,,,3,0,0,,3,3,8,3,,0,0,0,3,,63,9,43,29,8,11,,,,23,29,21,8,,,,,,1,1,1,1,,,0,,,0.26,3,3,3,3
File,"Schedule.java",1,1,1,1,5,0,5,0,,,,1,0,0,,1,1,2,1,,0,0,0,1,,23,5,15,11,2,3,,,,9,11,9,2,,,,,,1,1,1,1,,,0,,,0.20,1,1,1,1
File,"ScheduleClientDTO.java",1,1,1,1,9,0,9,0,,,,1,0,0,,1,1,4,1,,0,0,0,1,,28,5,20,14,4,3,,,,12,14,10,4,,,,,,1,1,1,1,,,0,,,0.15,1,1,1,1
File,"ScheduleDeviceDTO.java",1,1,1,1,7,0,7,0,,,,1,0,0,,1,1,3,1,,1,0,0,0,,22,3,16,11,3,3,,,,9,11,8,3,,,,,,1,1,1,1,,,0,,,0.19,1,1,1,1
File,"SecurityUtils.java",1,1,1,1,5,0,5,0,,,,1,1,0,,1,0,0,1,,0,0,0,1,,16,3,10,7,3,3,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,0.30,1,1,1,1
File,"StatusNotFoundException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,13,3,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"TokenAuthentication.java",1,1,1,1,3,0,3,0,,,,1,0,2,,3,3,1,3,,0,0,0,3,,30,8,19,12,7,3,,,,11,15,12,3,,,,,,1,1,1,1,,,0,,,0.16,3,3,3,3
File,"TokenException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,13,3,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"TokenProvider.java",1,1,1,1,1,0,1,0,,,,1,0,0,,2,2,0,2,,2,0,0,0,,14,4,7,6,0,3,,,,5,6,6,0,,,,,,1,1,1,1,,,0,,,0.43,2,2,2,2
File,"User.java",1,1,1,1,4,0,4,0,,,,2,1,1,,22,23,11,24,,0,0,1,23,,171,28,140,71,49,3,,,,71,95,51,44,,,,,,2,2,2,1,,,1,,,0.02,25,25,25,24
File,"UserController.java",1,1,1,1,8,1,5,2,,,,1,0,0,,12,12,2,12,,0,0,0,12,,173,31,110,75,35,32,,,,51,65,48,17,,,,,,2,2,2,1,,,1,,,0.29,13,13,13,12
File,"UserControllerTest.java",1,1,1,1,9,1,7,0,,,,1,0,0,,29,29,2,29,,0,14,0,15,,323,72,246,128,166,9,,,,122,140,98,42,,,,,,2,2,2,1,,,1,,,0.04,30,30,30,29
File,"UserDevicesDTO.java",1,1,1,1,5,0,5,0,,,,1,0,0,,2,2,4,2,,0,0,0,2,,37,7,27,20,4,3,,,,16,19,15,4,,,,,,1,1,1,1,,,0,,,0.11,2,2,2,2
File,"UserException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,13,3,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"UserGroup.java",3,1,3,1,10,0,9,0,,,,2,0,0,,4,6,8,6,,0,0,0,6,,85,15,67,15,47,3,,,,47,53,13,40,,,,,,7,2,7,1,,,1,,,0.04,12,7,12,6
File,"UserNotFoundException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"UserPermissionException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"UserReactivationException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,10,1,6,3,1,3,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,0.50,1,1,1,1
File,"UserRepository.java",1,1,2,1,8,1,6,0,,,,1,0,0,,14,14,0,14,,0,0,0,14,,166,42,121,55,62,3,,,,65,87,53,34,,,,,,3,3,4,3,,,2,,,0.02,20,20,21,16
File,"UserRepositoryTest.java",1,1,1,1,8,2,6,0,,,,1,0,0,,19,19,2,19,,0,0,0,19,,244,71,170,103,82,3,,,,105,129,84,45,,,,,,2,2,2,1,,,1,,,0.02,21,21,21,19
